1767010270.793323 0.065701 0.048876
1767010270.795323 0.128355 0.057697
1767010270.797278 0.189052 0.068426
1767010270.799315 0.251443 0.113964
1767010270.801319 0.311851 0.026226
1767010270.803276 0.369645 0.017881
1767010270.805310 0.428202 0.025272
1767010270.807317 0.484332 0.079155
1767010270.809323 0.538427 0.108957
1767010270.811319 0.590176 0.092268
1767010270.813312 0.639553 0.093222
1767010270.815318 0.686683 0.072241
1767010270.817312 0.730853 0.081062
1767010270.819312 0.772265 0.048876
1767010270.821310 0.810594 0.092030
1767010270.823322 0.845963 0.059366
1767010270.825317 0.877695 0.093699
1767010270.827311 0.905988 0.093460
1767010270.829306 0.930729 0.083447
1767010270.831311 0.951895 0.082016
1767010270.833310 0.969254 0.086784
1767010270.835318 0.982837 0.095606
1767010270.837313 0.992461 0.084639
1767010270.839309 0.998191 0.091553
1767010270.841336 0.999994 0.235558
1767010270.843325 0.997823 0.178576
1767010270.845316 0.991751 0.172615
1767010270.847306 0.981800 0.348806
1767010270.849312 0.967895 0.368595
1767010270.851312 0.950209 0.413179
1767010270.853310 0.928777 0.444174
1767010270.855310 0.903677 0.415802
1767010270.857289 0.875313 0.168562
1767010270.859317 0.842754 0.307798
1767010270.861312 0.807391 0.145674
1767010270.863310 0.768786 0.374317
1767010270.865316 0.726999 0.409603
1767010270.867311 0.682563 0.438213
1767010270.869310 0.635354 0.406027
1767010270.871315 0.585470 0.454903
1767010270.873294 0.533978 0.074148
1767010270.875318 0.479189 0.430107
1767010270.877309 0.423373 0.394106
1767010270.879308 0.365670 0.392675
1767010270.881289 0.307067 0.349522
1767010270.883308 0.246135 0.314474
1767010270.885314 0.184626 0.375986
1767010270.887312 0.122622 0.387192
1767010270.889312 0.060038 0.389099
1767010270.891292 -0.002139 0.226498
1767010270.893313 -0.065564 0.204086
1767010270.895313 -0.128078 0.203133
1767010270.897296 -0.189579 0.247240
1767010270.899318 -0.251505 0.202894
1767010270.901313 -0.311663 0.200033
1767010270.903312 -0.370672 0.211239
1767010270.905310 -0.428227 0.211239
1767010270.907312 -0.484166 0.219345
1767010270.909313 -0.538184 0.195503
1767010270.911287 -0.589387 0.200748
1767010270.913311 -0.639533 0.199080
1767010270.915314 -0.686610 0.430346
1767010270.917310 -0.730805 0.434399
1767010270.919318 -0.772401 0.431776
1767010270.921312 -0.810632 0.427008
1767010270.923314 -0.845829 0.416994
